               Original Sentence             	                   List of POS      	       Misclassified Entity     
                                                                                                                                                                                                       	becomes/VBZ	 
                                                                                                                                                                                                       	the/DT	 
                                                                                                                                                                                                       	villainous/JJ	 
                                                                                                                                                                                                       	Queen/NNP	 
                                                                                                                                                                                                       	./.	 
Besides [[ James Arness | /m/036jp8 ]] , who played [[ Matt Dillon | /m/06mb_y ]] on ''Gunsmoke,'' [[ Milburn Stone | /m/03xn5k ]] played Doc Adams on that show for 20 years	Besides/IN	 
                                                                                                                                                                              	James/NNP	 
                                                                                                                                                                              	Arness/NNP	 
                                                                                                                                                                              	,/,	 
                                                                                                                                                                              	who/WP	 
                                                                                                                                                                              	played/VBD	 
                                                                                                                                                                              	Matt/NNP	 
                                                                                                                                                                              	Dillon/NNP	 
                                                                                                                                                                              	on/IN	 
                                                                                                                                                                              	Gunsmoke/NNP	 
                                                                                                                                                                              	,/,	 
                                                                                                                                                                              	Milburn/NNP	 
                                                                                                                                                                              	Stone/NNP	 
                                                                                                                                                                              	played/VBD	 
                                                                                                                                                                              	Doc/NNP	 
                                                                                                                                                                              	Adams/NNP	 
                                                                                                                                                                              	on/IN	 
                                                                                                                                                                              	that/DT	 
                                                                                                                                                                              	show/NN	 
                                                                                                                                                                              	for/IN	 
                                                                                                                                                                              	20/CD	 
                                                                                                                                                                              	years/NNS	 
[[ Teresa Wright | /m/018qr9 ]] offers capable support as [[ Eleanor Gehrig | /m/02nwq33 ]] 	Teresa/NNP	 
                                                                                             	Wright/NNP	 
                                                                                             	offers/VBZ	 
                                                                                             	capable/JJ	 
                                                                                             	support/NN	 
                                                                                             	as/IN	 
                                                                                             	Eleanor/NNP	 
                                                                                             	Gehrig/NNP	 
                                                                                             	Teresa/NNP	 
                                                                                             	Wright/NNP	 
                                                                                             	offers/VBZ	 
                                                                                             	capable/JJ	 
                                                                                             	support/NN	 
                                                                                             	as/IN	 
                                                                                             	Eleanor/NNP	 
                                                                                             	Gehrig/NNP	 
The film is notable for being the first major role for [[ Kirstie Alley | /m/01wc7p ]] , who played [[ Lieutenant Saavik | /m/02469f ]] 	The/DT	 
                                                                                                                                         	film/NN	 
                                                                                                                                         	is/VBZ	 
                                                                                                                                         	notable/JJ	 
                                                                                                                                         	for/IN	 
                                                                                                                                         	being/VBG	 
                                                                                                                                         	the/DT	 
                                                                                                                                         	first/JJ	 
                                                                                                                                         	major/JJ	 
                                                                                                                                         	role/NN	 
                                                                                                                                         	for/IN	 
                                                                                                                                         	Kirstie/NNP	 
                                                                                                                                         	Alley/NNP	 
                                                                                                                                         	,/,	 
                                                                                                                                         	who/WP	 
                                                                                                                                         	played/VBD	 
                                                                                                                                         	Lieutenant/NNP	 
                                                                                                                                         	Saavik/NNP	 
[[ Steve Carell | /m/04t2l2 ]] stars as [[ Evan Baxter | /m/02nwc6h ]] , a recently elected congressman.	Steve/NNP	 
                                                                                                         	Carell/NNP	 
                                                                                                         	stars/VBZ	 
                                                                                                         	as/IN	 
                                                                                                         	Evan/NNP	 
                                                                                                         	Baxter/NNP	 
                                                                                                         	,/,	 
                                                                                                         	a/DT	 
                                                                                                         	recently/RB	 
                                                                                                         	elected/VBN	 
                                                                                                         	congressman/NN	 
                                                                                                         	./.	 
[[ Tom Hank | /m/0bxtg ]] is playing [[ Robert Langdon | /m/02ghwh ]] and the movie is directed by [[ Ron Howard | /m/0g2lq ]] .	Tom/NNP	 
                                                                                                                                 	Hank/NNP	 
                                                                                                                                 	is/VBZ	 
                                                                                                                                 	playing/VBG	 
                                                                                                                                 	Robert/NNP	 
                                                                                                                                 	Langdon/NNP	 
                                                                                                                                 	and/CC	 
                                                                                                                                 	the/DT	 
                                                                                                                                 	movie/NN	 
                                                                                                                                 	is/VBZ	 
                                                                                                                                 	directed/VBN	 
                                                                                                                                 	by/IN	 
                                                                                                                                 	Ron/NNP	 
                                                                                                                                 	Howard/NNP	 
                                                                                                                                 	./.	 
[[ Camille Montes | /m/043pxc_ ]] is played by [[ Olga Kurylenko | /m/0266c36 ]] in .	Camille/NNP	 
                                                                                      	Montes/NNP	 
                                                                                      	is/VBZ	 
                                                                                      	played/VBN	 
                                                                                      	by/IN	 
                                                                                      	Olga/NNP	 
                                                                                      	Kurylenko/NNP	 
                                                                                      	in/IN	 
                                                                                      	./.	 
- Stunt man [[ Derek Mears | /m/05h41sp ]]  plays the infamous [[ Jason Voorhees | /m/01wmhq ]] 	-/:	 
                                                                                                 	Stunt/NN	 
                                                                                                 	man/NN	 
                                                                                                 	Derek/NNP	 
                                                                                                 	Mears/NNP	 
                                                                                                 	plays/VBZ	 
                                                                                                 	the/DT	 
                                                                                                 	infamous/JJ	 
                                                                                                 	Jason/NNP	 
                                                                                                 	Voorhees/NNP	 
? [[ Olga Kurylenko | /m/0266c36 ]] ?s character, [[ Camille | /m/043pxc_ ]] , is half [[ Ukrainian | /m/07t21 ]] and half [[ South American | /m/06n3y ]] .	?/.	Ukrainian
                                                                                                                                                             	Olga/NNP	South American
                                                                                                                                                             	Kurylenko/NNP	 
                                                                                                                                                             	?/.	 
                                                                                                                                                             	s/JJ	 
                                                                                                                                                             	character/NN	 
                                                                                                                                                             	,/,	 
                                                                                                                                                             	Camille/NNP	 
                                                                                                                                                             	,/,	 
                                                                                                                                                             	is/VBZ	 
                                                                                                                                                             	half/JJ	 
                                                                                                                                                             	Ukrainian/JJ	 
                                                                                                                                                             	and/CC	 
                                                                                                                                                             	half/NN	 
                                                                                                                                                             	South/JJ	 
                                                                                                                                                             	American/JJ	 
                                                                                                                                                             	./.	 
[[ Steve Carell | /m/04t2l2 ]] plays the part of [[ Dan Burns | /m/04g5rq4 ]] , the widowed father of three girls.	Steve/NNP	 
                                                                                                                   	Carell/NNP	 
                                                                                                                   	plays/VBZ	 
                                                                                                                   	the/DT	 
                                                                                                                   	part/NN	 
                                                                                                                   	of/IN	 
                                                                                                                   	Dan/NNP	 
                                                                                                                   	Burns/NNP	 
                                                                                                                   	,/,	 
                                                                                                                   	the/DT	 
                                                                                                                   	widowed/JJ	 
                                                                                                                   	father/NN	 
                                                                                                                   	of/IN	 
                                                                                                                   	three/CD	 
                                                                                                                   	girls/NNS	 
                                                                                                                   	./.	 
[[ Samantha Bond | /m/03pknm ]] , who starred as [[ Miss Moneypenny | /m/01hk60 ]] in the [[ Bond | /m/03pknm ]] ..	Samantha/NNP	 
                                                                                                                    	Bond/NNP	 
                                                                                                                    	,/,	 
                                                                                                                    	who/WP	 
                                                                                                                    	starred/VBD	 
                                                                                                                    	as/IN	 
                                                                                                                    	Miss/NNP	 
                                                                                                                    	Moneypenny/NNP	 
                                                                                                                    	in/IN	 
                                                                                                                    	the/DT	 
                                                                                                                    	Bond/NNP	 
                                                                                                                    	../NN	 
Who was Who? [[ Fred Flintstone | /m/01mr9t ]] was played by [[ Alan Reed | /m/03jkgs ]] and [[ Mel Blanc | /m/0c5vh ]] played [[ Barney Rubble | /m/05695w ]] 	Who/WP	 
                                                                                                                                                                	was/VBD	 
                                                                                                                                                                	Who/NNP	 
                                                                                                                                                                	?/.	 
                                                                                                                                                                	Fred/NNP	 
                                                                                                                                                                	Flintstone/NNP	 
                                                                                                                                                                	was/VBD	 
                                                                                                                                                                	played/VBN	 
                                                                                                                                                                	by/IN	 
                                                                                                                                                                	Alan/NNP	 
                                                                                                                                                                	Reed/NNP	 
                                                                                                                                                                	and/CC	 
                                                                                                                                                                	Mel/NNP	 
                                                                                                                                                                	Blanc/NNP	 
                                                                                                                                                                	played/VBD	 
                                                                                                                                                                	Barney/NNP	 
                                                                                                                                                                	Rubble/NNP	 
If you saw [[ Bruce Almighty | /m/01jft4 ]] , you probably remember [[ Steve Carell | /m/04t2l2 ]] ?s cameo as [[ Evan Baxter | /m/02nwc6h ]] 	If/IN	 
                                                                                                                                               	you/PRP	 
                                                                                                                                               	saw/VBD	 
                                                                                                                                               	Bruce/NNP	 
                                                                                                                                               	Almighty/NNP	 
                                                                                                                                               	,/,	 
                                                                                                                                               	you/PRP	 
                                                                                                                                               	probably/RB	 
                                                                                                                                               	remember/VB	 
                                                                                                                                               	Steve/NNP	 
                                                                                                                                               	Carell/NNP	 
                                                                                                                                               	?/.	 
                                                                                                                                               	s/NN	 
                                                                                                                                               	cameo/NN	 
                                                                                                                                               	as/IN	 
                                                                                                                                               	Evan/NNP	 
                                                                                                                                               	Baxter/NNP	 
[[ Nathan Lane | /m/01nxzv ]] is really good as [[ Max Bialystock | /m/0d778t ]] , but [[ Matthew Broderick | /m/01vlj1g ]] is FANTASTIC as [[ Leo Bloom | /m/02x01nt ]] .	Nathan/NNP	 
                                                                                                                                                                           	Lane/NNP	 
                                                                                                                                                                           	is/VBZ	 
                                                                                                                                                                           	really/RB	 
                                                                                                                                                                           	good/JJ	 
                                                                                                                                                                           	as/IN	 
                                                                                                                                                                           	Max/NNP	 
                                                                                                                                                                           	Bialystock/NNP	 
                                                                                                                                                                           	,/,	 
                                                                                                                                                                           	but/CC	 
                                                                                                                                                                           	Matthew/NNP	 
                                                                                                                                                                           	Broderick/NNP	 
                                                                                                                                                                           	is/VBZ	 
                                                                                                                                                                           	FANTASTIC/NNP	 
                                                                                                                                                                           	as/IN	 
                                                                                                                                                                           	Leo/NNP	 
                                                                                                                                                                           	Bloom/NNP	 
                                                                                                                                                                           	./.	 
[[ Gleason | /m/0281lp ]] plays [[ Sheriff Halderman | /m/0lfqqf0 ]] 	Gleason/NNP	 
                                                                      	plays/VBZ	 
                                                                      	Sheriff/NNP	 
                                                                      	Halderman/NNP	 
[[ Binoche | /m/0fbx6 ]] plays the [[ Miriam | /m/0bqx7bm ]] as a watchdog but rather, as [[ BEE SEASON | /m/0cndck ]] grows more renascent, increase it.	Binoche/NNP	 
                                                                                                                                                          	plays/VBZ	 
                                                                                                                                                          	the/DT	 
                                                                                                                                                          	Miriam/NNP	 
                                                                                                                                                          	as/IN	 
                                                                                                                                                          	a/DT	 
                                                                                                                                                          	watchdog/NN	 
                                                                                                                                                          	but/CC	 
                                                                                                                                                          	rather/RB	 
                                                                                                                                                          	,/,	 
                                                                                                                                                          	as/IN	 
                                                                                                                                                          	BEE/NNP	 
                                                                                                                                                          	SEASON/NNP	 
                                                                                                                                                          	grows/VBZ	 
                                                                                                                                                          	more/RBR	 
                                                                                                                                                          	renascent/JJ	 
                                                                                                                                                          	,/,	 
                                                                                                                                                          	increase/VB	 
                                                                                                                                                          	it/PRP	 
                                                                                                                                                          	./.	 
[[ Green Day | /m/0dvqq ]] and [[ ZZ Top | /m/089tm ]] also appeared on the show, which was co-created by [[ Beavis | /m/01p8r8 ]] + [[ Butthead | /m/025t53n ]] animator [[ Mike Judge | /m/01p8r8 ]] 	Green/JJ	Green Day
                                                                                                                                                                                                        	Day/NNP	 
                                                                                                                                                                                                        	and/CC	 
                                                                                                                                                                                                        	ZZ/NNP	 
                                                                                                                                                                                                        	Top/NNP	 
                                                                                                                                                                                                        	also/RB	 
                                                                                                                                                                                                        	appeared/VBD	 
                                                                                                                                                                                                        	on/IN	 
                                                                                                                                                                                                        	the/DT	 
                                                                                                                                                                                                        	show/NN	 
                                                                                                                                                                                                        	,/,	 
                                                                                                                                                                                                        	which/WDT	 
                                                                                                                                                                                                        	was/VBD	 
                                                                                                                                                                                                        	co-created/VBN	 
                                                                                                                                                                                                        	by/IN	 
                                                                                                                                                                                                        	Beavis/NNP	 
                                                                                                                                                                                                        	+/NNP	 
                                                                                                                                                                                                        	Butthead/NNP	 
                                                                                                                                                                                                        	animator/NN	 
                                                                                                                                                                                                        	Mike/NNP	 
                                                                                                                                                                                                        	Judge/NNP	 
October 03, 2003 :: The New Actors & Actresses: The voice of [[ Luna | /m/01h2s2 ]] will be [[ Han Keiko | /m/03bdbl ]]	October/NNP	 
                                                                                                                        	03/CD	 
                                                                                                                        	,/,	 
                                                                                                                        	2003/CD	 
                                                                                                                        	:/:	 
                                                                                                                        	:/:	 
                                                                                                                        	The/DT	 
                                                                                                                        	New/NNP	 
                                                                                                                        	Actors/NNP	 
                                                                                                                        	&/CC	 
                                                                                                                        	Actresses/NNS	 
                                                                                                                        	:/:	 
                                                                                                                        	The/DT	 
                                                                                                                        	voice/NN	 
                                                                                                                        	of/IN	 
                                                                                                                        	Luna/NNP	 
                                                                                                                        	will/MD	 
                                                                                                                        	be/VB	 
                                                                                                                        	Han/NNP	 
                                                                                                                        	Keiko/NNP	 
Even without the [[ Jason | /m/01wmhq ]] get-up, [[ Derek Mears | /m/05h41sp ]] is a scary looking dude 	Even/RB	 
                                                                                                         	without/IN	 
                                                                                                         	the/DT	 
                                                                                                         	Jason/NNP	 
                                                                                                         	get-up/NN	 
                                                                                                         	,/,	 
                                                                                                         	Derek/NNP	 
                                                                                                         	Mears/NNP	 
                                                                                                         	is/VBZ	 
                                                                                                         	a/DT	 
                                                                                                         	scary/JJ	 
                                                                                                         	looking/VBG	 
                                                                                                         	dude/NN	 
[[ Elizabeth Berkley | /m/01j6fq ]] plays [[ Nomi Malone | /m/098klm0 ]] , a woman who goes to [[ Las Vegas | /m/0cv3w ]] to become a dancer and who is.	Elizabeth/NNP	 
                                                                                                                                                         	Berkley/NNP	 
                                                                                                                                                         	plays/VBZ	 
                                                                                                                                                         	Nomi/NNP	 
                                                                                                                                                         	Malone/NNP	 
                                                                                                                                                         	,/,	 
                                                                                                                                                         	a/DT	 
                                                                                                                                                         	woman/NN	 
                                                                                                                                                         	who/WP	 
                                                                                                                                                         	goes/VBZ	 
                                                                                                                                                         	to/TO	 
                                                                                                                                                         	Las/NNP	 
