               Original Sentence             	                   List of POS      	       Misclassified Entity     
                                                                                                                                    	release/NN	 
                                                                                                                                    	on/IN	 
                                                                                                                                    	September/NNP	 
                                                                                                                                    	14th/CD	 
Welcome [[ Guillemots | /m/09dr37 ]] whose critically acclaimed debut album, [[ Through The Windowpane | /m/01s6fvl ]] , was nominated for a [[ Mercury Music Prize | /m/011l_5 ]] last year	Welcome/JJ	Through The Windowpane
                                                                                                                                                                                             	Guillemots/NNP	 
                                                                                                                                                                                             	whose/WP$	 
                                                                                                                                                                                             	critically/RB	 
                                                                                                                                                                                             	acclaimed/VBN	 
                                                                                                                                                                                             	debut/NN	 
                                                                                                                                                                                             	album/NN	 
                                                                                                                                                                                             	,/,	 
                                                                                                                                                                                             	Through/IN	 
                                                                                                                                                                                             	The/DT	 
                                                                                                                                                                                             	Windowpane/NNP	 
                                                                                                                                                                                             	,/,	 
                                                                                                                                                                                             	was/VBD	 
                                                                                                                                                                                             	nominated/VBN	 
                                                                                                                                                                                             	for/IN	 
                                                                                                                                                                                             	a/DT	 
                                                                                                                                                                                             	Mercury/NNP	 
                                                                                                                                                                                             	Music/NNP	 
                                                                                                                                                                                             	Prize/NNP	 
                                                                                                                                                                                             	last/JJ	 
                                                                                                                                                                                             	year/NN	 
With this lineup, the [[ Feelies | /m/01l8xj3 ]] recorded [[ Crazy Rhythms | /m/01l8xfc ]] for [[ Stiff Records | /m/0f26f ]] in 1980	With/IN	 
                                                                                                                                      	this/DT	 
                                                                                                                                      	lineup/NN	 
                                                                                                                                      	,/,	 
                                                                                                                                      	the/DT	 
                                                                                                                                      	Feelies/NNS	 
                                                                                                                                      	recorded/VBD	 
                                                                                                                                      	Crazy/NNP	 
                                                                                                                                      	Rhythms/NNP	 
                                                                                                                                      	for/IN	 
                                                                                                                                      	Stiff/NNP	 
                                                                                                                                      	Records/NNP	 
                                                                                                                                      	in/IN	 
                                                                                                                                      	1980/CD	 
First, Bell finally laid down those vocals for the final [[ Ministry | /m/01fchy ]] tantrum, 2007s [[ Dubya | /m/09b6zr ]] pi? ata, [[ The Last Sucker | /m/03jgfgm ]] 	First/RB	The Last Sucker
                                                                                                                                                                         	,/,	 
                                                                                                                                                                         	Bell/NNP	 
                                                                                                                                                                         	finally/RB	 
                                                                                                                                                                         	laid/VBD	 
                                                                                                                                                                         	down/RB	 
                                                                                                                                                                         	those/DT	 
                                                                                                                                                                         	vocals/NNS	 
                                                                                                                                                                         	for/IN	 
                                                                                                                                                                         	the/DT	 
                                                                                                                                                                         	final/JJ	 
                                                                                                                                                                         	Ministry/NNP	 
                                                                                                                                                                         	tantrum/NN	 
                                                                                                                                                                         	,/,	 
                                                                                                                                                                         	2007s/CD	 
                                                                                                                                                                         	Dubya/NNP	 
                                                                                                                                                                         	pi/NN	 
                                                                                                                                                                         	?/.	 
                                                                                                                                                                         	ata/NN	 
                                                                                                                                                                         	,/,	 
                                                                                                                                                                         	The/DT	 
                                                                                                                                                                         	Last/JJ	 
                                                                                                                                                                         	Sucker/NN	 
                                                                                                                                                                         	First/RB	 
                                                                                                                                                                         	,/,	 
                                                                                                                                                                         	Bell/NNP	 
                                                                                                                                                                         	finally/RB	 
                                                                                                                                                                         	laid/VBD	 
                                                                                                                                                                         	down/RB	 
                                                                                                                                                                         	those/DT	 
                                                                                                                                                                         	vocals/NNS	 
                                                                                                                                                                         	for/IN	 
                                                                                                                                                                         	the/DT	 
                                                                                                                                                                         	final/JJ	 
                                                                                                                                                                         	Ministry/NNP	 
                                                                                                                                                                         	tantrum/NN	 
                                                                                                                                                                         	,/,	 
                                                                                                                                                                         	2007s/CD	 
                                                                                                                                                                         	Dubya/NNP	 
                                                                                                                                                                         	pi/NN	 
                                                                                                                                                                         	?/.	 
                                                                                                                                                                         	ata/NN	 
                                                                                                                                                                         	,/,	 
                                                                                                                                                                         	The/DT	 
                                                                                                                                                                         	Last/JJ	 
                                                                                                                                                                         	Sucker/NN	 
Did Mariah record a song for   [[ Glitter | /m/06gg25 ]]   called   [[ Destiny | /m/01lyh8t ]]   with [[ Jim Brickman | /m/059h8y ]] 	Did/NNP	 
                                                                                                                                      	Mariah/NNP	 
                                                                                                                                      	record/NN	 
                                                                                                                                      	a/DT	 
                                                                                                                                      	song/NN	 
                                                                                                                                      	for/IN	 
                                                                                                                                      	Glitter/NNP	 
                                                                                                                                      	called/VBD	 
                                                                                                                                      	Destiny/NNP	 
                                                                                                                                      	with/IN	 
                                                                                                                                      	Jim/NNP	 
                                                                                                                                      	Brickman/NNP	 
In 1973, [[ The Divine Miss M | /m/01k8k4m ]] garnered [[ Midler | /m/01dw9z ]] a [[ Grammy | /m/0c4ys ]] for [[ Best New Artist | /m/01c427 ]] .	In/IN	The Divine Miss M
                                                                                                                                                  	1973/CD	 
                                                                                                                                                  	,/,	 
                                                                                                                                                  	The/DT	 
                                                                                                                                                  	Divine/NNP	 
                                                                                                                                                  	Miss/NNP	 
                                                                                                                                                  	M/NNP	 
                                                                                                                                                  	garnered/VBD	 
                                                                                                                                                  	Midler/NNP	 
                                                                                                                                                  	a/DT	 
                                                                                                                                                  	Grammy/NNP	 
                                                                                                                                                  	for/IN	 
                                                                                                                                                  	Best/NNP	 
                                                                                                                                                  	New/NNP	 
                                                                                                                                                  	Artist/NNP	 
                                                                                                                                                  	./.	 
In 1994 [[ Martin | /m/031jd_ ]] formed [[ Martin Taylor | /m/031jd_ ]] 's [[ Spirit of Django | /m/01m9jb6 ]] , paying homage to [[ Django Reinhardt | /m/02hcs ]] 	In/IN	 
                                                                                                                                                                     	1994/CD	 
                                                                                                                                                                     	Martin/NNP	 
                                                                                                                                                                     	formed/VBD	 
                                                                                                                                                                     	Martin/NNP	 
                                                                                                                                                                     	Taylor/NNP	 
                                                                                                                                                                     	s/VBD	 
                                                                                                                                                                     	Spirit/NNP	 
                                                                                                                                                                     	of/IN	 
                                                                                                                                                                     	Django/NNP	 
                                                                                                                                                                     	,/,	 
                                                                                                                                                                     	paying/VBG	 
                                                                                                                                                                     	homage/NN	 
                                                                                                                                                                     	to/TO	 
                                                                                                                                                                     	Django/NNP	 
                                                                                                                                                                     	Reinhardt/NNP	 
                                                                                                                                                                     	In/IN	 
                                                                                                                                                                     	1994/CD	 
                                                                                                                                                                     	Martin/NNP	 
                                                                                                                                                                     	formed/VBD	 
                                                                                                                                                                     	Martin/NNP	 
                                                                                                                                                                     	Taylor/NNP	 
                                                                                                                                                                     	s/VBD	 
                                                                                                                                                                     	Spirit/NNP	 
                                                                                                                                                                     	of/IN	 
                                                                                                                                                                     	Django/NNP	 
                                                                                                                                                                     	,/,	 
                                                                                                                                                                     	paying/VBG	 
                                                                                                                                                                     	homage/NN	 
                                                                                                                                                                     	to/TO	 
                                                                                                                                                                     	Django/NNP	 
                                                                                                                                                                     	Reinhardt/NNP	 
                                                                                                                                                                     	In/IN	 
                                                                                                                                                                     	1994/CD	 
                                                                                                                                                                     	Martin/NNP	 
                                                                                                                                                                     	formed/VBD	 
                                                                                                                                                                     	Martin/NNP	 
                                                                                                                                                                     	Taylor/NNP	 
                                                                                                                                                                     	s/VBD	 
                                                                                                                                                                     	Spirit/NNP	 
                                                                                                                                                                     	of/IN	 
                                                                                                                                                                     	Django/NNP	 
                                                                                                                                                                     	,/,	 
                                                                                                                                                                     	paying/VBG	 
                                                                                                                                                                     	homage/NN	 
                                                                                                                                                                     	to/TO	 
                                                                                                                                                                     	Django/NNP	 
                                                                                                                                                                     	Reinhardt/NNP	 
[2] She did bakcround vocals on [[ Patty Loveless | /m/05sq0m ]] album, [[ Strong Heart | /m/01lv9sl ]] , that year	2/CD	 
                                                                                                                    	She/PRP	 
                                                                                                                    	did/VBD	 
                                                                                                                    	bakcround/NN	 
                                                                                                                    	vocals/NNS	 
                                                                                                                    	on/IN	 
                                                                                                                    	Patty/NNP	 
                                                                                                                    	Loveless/NNP	 
                                                                                                                    	album/NN	 
                                                                                                                    	,/,	 
                                                                                                                    	Strong/NNP	 
                                                                                                                    	Heart/NNP	 
                                                                                                                    	,/,	 
                                                                                                                    	that/IN	 
                                                                                                                    	year/NN	 
The [[ Pet Shop Boys | /m/0dm5l ]] did It Couldn’t Happen Here , [[ Macca | /m/03j24kf ]] did [[ Give My Regards To Broad Street | /m/01j7v4x ]]	The/DT	Give My Regards To Broad Street
                                                                                                                                                 	Pet/NNP	 
                                                                                                                                                 	Shop/NNP	 
                                                                                                                                                 	Boys/NNP	 
                                                                                                                                                 	did/VBD	 
                                                                                                                                                 	It/PRP	 
                                                                                                                                                 	Couldn/NNP	 
                                                                                                                                                 	’/NNP	 
                                                                                                                                                 	t/NN	 
                                                                                                                                                 	Happen/NNP	 
                                                                                                                                                 	Here/RB	 
                                                                                                                                                 	,/,	 
                                                                                                                                                 	Macca/NNP	 
                                                                                                                                                 	did/VBD	 
                                                                                                                                                 	Give/VB	 
                                                                                                                                                 	My/NNP	 
                                                                                                                                                 	Regards/NNP	 
                                                                                                                                                 	To/TO	 
                                                                                                                                                 	Broad/NNP	 
                                                                                                                                                 	Street/NNP	 
[[ Lee Newman | /m/01w7fs0 ]] and [[ Michael Wells | /m/01w7fsh ]] formed [[ Greater Than One | /m/01m_xqn ]] in [[ London | /m/024v5c_ ]] , circa 1985.	Lee/NNP	 
                                                                                                                                                         	Newman/NNP	 
                                                                                                                                                         	and/CC	 
                                                                                                                                                         	Michael/NNP	 
                                                                                                                                                         	Wells/NNP	 
                                                                                                                                                         	formed/VBD	 
                                                                                                                                                         	Greater/NNP	 
                                                                                                                                                         	Than/NNP	 
                                                                                                                                                         	One/CD	 
                                                                                                                                                         	in/IN	 
                                                                                                                                                         	London/NNP	 
                                                                                                                                                         	,/,	 
                                                                                                                                                         	circa/NN	 
                                                                                                                                                         	1985/CD	 
                                                                                                                                                         	./.	 
[[ Gentleman Reg | /m/04rgyn ]] is the recording name for [[ Canadian | /m/0d060g ]] singer/songwriter [[ Reg Vermue | /m/04rgyn ]] , who released his fourth album, [[ Jet Black | /m/0dp61z9 ]] , today.	Gentleman/NNP	Canadian
                                                                                                                                                                                                           	Reg/NNP	 
                                                                                                                                                                                                           	is/VBZ	 
                                                                                                                                                                                                           	the/DT	 
                                                                                                                                                                                                           	recording/NN	 
                                                                                                                                                                                                           	name/NN	 
                                                                                                                                                                                                           	for/IN	 
                                                                                                                                                                                                           	Canadian/JJ	 
                                                                                                                                                                                                           	singer/NN	 
                                                                                                                                                                                                           	songwriter/NN	 
                                                                                                                                                                                                           	Reg/NNP	 
                                                                                                                                                                                                           	Vermue/NNP	 
                                                                                                                                                                                                           	,/,	 
                                                                                                                                                                                                           	who/WP	 
                                                                                                                                                                                                           	released/VBD	 
                                                                                                                                                                                                           	his/PRP$	 
                                                                                                                                                                                                           	fourth/JJ	 
                                                                                                                                                                                                           	album/NN	 
                                                                                                                                                                                                           	,/,	 
                                                                                                                                                                                                           	Jet/NNP	 
                                                                                                                                                                                                           	Black/NNP	 
                                                                                                                                                                                                           	,/,	 
                                                                                                                                                                                                           	today/NN	 
                                                                                                                                                                                                           	./.	 
[[ Paul McCartney | /m/03j24kf ]] performing [[ Lady Madonna | /m/0lhg28 ]] in [[ Minneapolis | /m/0fpzwf ]] on the   [[ Wings Over America | /m/01jfz72 ]]   tour.	Paul/NNP	 
                                                                                                                                                                    	McCartney/NNP	 
                                                                                                                                                                    	performing/VBG	 
                                                                                                                                                                    	Lady/NNP	 
                                                                                                                                                                    	Madonna/NNP	 
                                                                                                                                                                    	in/IN	 
                                                                                                                                                                    	Minneapolis/NNP	 
                                                                                                                                                                    	on/IN	 
                                                                                                                                                                    	the/DT	 
                                                                                                                                                                    	Wings/NNP	 
                                                                                                                                                                    	Over/NNP	 
                                                                                                                                                                    	America/NNP	 
                                                                                                                                                                    	tour/NN	 
                                                                                                                                                                    	./.	 
[[ Mos Def | /m/03f4xvm ]] has joined [[ The Roots | /m/01f2q5 ]] on two previous albums, [[ Things Fall Apart | /m/01h_mdt ]] and [[ The Tipping Point | /m/01h_m55 ]] .	Mos/NNP	The Roots
                                                                                                                                                                          	Def/NNP	The Roots
                                                                                                                                                                          	has/VBZ	The Tipping Point
                                                                                                                                                                          	joined/VBN	The Tipping Point
                                                                                                                                                                          	The/DT	 
                                                                                                                                                                          	Roots/NNP	 
                                                                                                                                                                          	on/IN	 
                                                                                                                                                                          	two/CD	 
