               Original Sentence             	                   List of POS      	       Misclassified Entity     
                                                                                                                                                                   	she/PRP	 
                                                                                                                                                                   	calls/VBZ	 
                                                                                                                                                                   	spiteful/JJ	 
                                                                                                                                                                   	phone/NN	 
                                                                                                                                                                   	calls/NNS	 
                                                                                                                                                                   	from/IN	 
                                                                                                                                                                   	Paul/NNP	 
                                                                                                                                                                   	s/NN	 
                                                                                                                                                                   	daughter/NN	 
                                                                                                                                                                   	Stella/NNP	 
[[ Thomas Rolfe | /m/03q33y ]]  was the only child of the legendary [[ Pocahontas | /m/01jggg ]] by her [[ English | /m/02jx1 ]]	Thomas/NNP	English
                                                                                                                                 	Rolfe/NNP	 
                                                                                                                                 	was/VBD	 
                                                                                                                                 	the/DT	 
                                                                                                                                 	only/JJ	 
                                                                                                                                 	child/NN	 
                                                                                                                                 	of/IN	 
                                                                                                                                 	the/DT	 
                                                                                                                                 	legendary/JJ	 
                                                                                                                                 	Pocahontas/NNS	 
                                                                                                                                 	by/IN	 
                                                                                                                                 	her/PRP$	 
                                                                                                                                 	English/JJ	 
[[ Madonna | /m/01vs_v8 ]] 's friendship with [[ Paul McCartney | /m/03j24kf ]] 's fashion designer daughter, [[ Stella | /m/03j437 ]] has been undergoing serious stress lately	Madonna/NNP	 
                                                                                                                                                                                 	s/VBZ	 
                                                                                                                                                                                 	friendship/NN	 
                                                                                                                                                                                 	with/IN	 
                                                                                                                                                                                 	Paul/NNP	 
                                                                                                                                                                                 	McCartney/NNP	 
                                                                                                                                                                                 	s/JJ	 
                                                                                                                                                                                 	fashion/NN	 
                                                                                                                                                                                 	designer/NN	 
                                                                                                                                                                                 	daughter/NN	 
                                                                                                                                                                                 	,/,	 
                                                                                                                                                                                 	Stella/NNP	 
                                                                                                                                                                                 	has/VBZ	 
                                                                                                                                                                                 	been/VBN	 
                                                                                                                                                                                 	undergoing/VBG	 
                                                                                                                                                                                 	serious/JJ	 
                                                                                                                                                                                 	stress/NN	 
                                                                                                                                                                                 	lately/RB	 
's hands; 3) [[ Stella | /m/03j437 ]] says very nasty things about [[ Heather | /m/01f761 ]] ; and 4) [[ Heather | /m/01f761 ]] thereafter confronted Sir [[ Paul | /m/03j24kf ]] .	s/JJ	 
                                                                                                                                                                                    	hands/NNS	 
                                                                                                                                                                                    	;/:	 
                                                                                                                                                                                    	3/CD	 
                                                                                                                                                                                    	Stella/NNP	 
                                                                                                                                                                                    	says/VBZ	 
                                                                                                                                                                                    	very/RB	 
                                                                                                                                                                                    	nasty/JJ	 
                                                                                                                                                                                    	things/NNS	 
                                                                                                                                                                                    	about/IN	 
                                                                                                                                                                                    	Heather/NNP	 
                                                                                                                                                                                    	;/:	 
                                                                                                                                                                                    	and/CC	 
                                                                                                                                                                                    	4/CD	 
                                                                                                                                                                                    	Heather/NNP	 
                                                                                                                                                                                    	thereafter/RB	 
                                                                                                                                                                                    	confronted/VBD	 
                                                                                                                                                                                    	Sir/NNP	 
                                                                                                                                                                                    	Paul/NNP	 
                                                                                                                                                                                    	./.	 
(one near [[ Deir el-Bahari | /m/03rvgl ]] , and the other in the tomb of [[ Tuthmosis IV | /m/02n_ls ]] 's father, [[ Amenhotep II | /m/02npr1 ]] ).	one/CD	 
                                                                                                                                                      	near/IN	 
                                                                                                                                                      	Deir/NNP	 
                                                                                                                                                      	el-Bahari/NN	 
                                                                                                                                                      	,/,	 
                                                                                                                                                      	and/CC	 
                                                                                                                                                      	the/DT	 
                                                                                                                                                      	other/JJ	 
                                                                                                                                                      	in/IN	 
                                                                                                                                                      	the/DT	 
                                                                                                                                                      	tomb/NN	 
                                                                                                                                                      	of/IN	 
                                                                                                                                                      	Tuthmosis/NNP	 
                                                                                                                                                      	IV/NNP	 
                                                                                                                                                      	s/NN	 
                                                                                                                                                      	father/NN	 
                                                                                                                                                      	,/,	 
                                                                                                                                                      	Amenhotep/NNP	 
                                                                                                                                                      	II/NNP	 
                                                                                                                                                      	./.	 
[[ Emir | /m/027jq2 ]] 's son, [[ Stribor Kusturica | /m/03j3p1h ]] also joined the band to play the percussions	Emir/NNP	 
                                                                                                                 	s/PRP	 
                                                                                                                 	son/NN	 
                                                                                                                 	,/,	 
                                                                                                                 	Stribor/NNP	 
                                                                                                                 	Kusturica/NNP	 
                                                                                                                 	also/RB	 
                                                                                                                 	joined/VBD	 
                                                                                                                 	the/DT	 
                                                                                                                 	band/NN	 
                                                                                                                 	to/TO	 
                                                                                                                 	play/VB	 
                                                                                                                 	the/DT	 
                                                                                                                 	percussions/NNS	 
[[ Anna Comnena | /m/014r5w ]]  was a daughter of the [[ Byzantine | /m/07hdy1 ]] emperor [[ Alexius I Comnenus | /m/0rj7 ]] , and is the first known female historian.	Anna/NNP	 
                                                                                                                                                                        	Comnena/NNP	 
                                                                                                                                                                        	was/VBD	 
                                                                                                                                                                        	a/DT	 
                                                                                                                                                                        	daughter/NN	 
                                                                                                                                                                        	of/IN	 
                                                                                                                                                                        	the/DT	 
                                                                                                                                                                        	Byzantine/NNP	 
                                                                                                                                                                        	emperor/NN	 
                                                                                                                                                                        	Alexius/NNP	 
                                                                                                                                                                        	I/PRP	 
                                                                                                                                                                        	Comnenus/NNP	 
                                                                                                                                                                        	,/,	 
                                                                                                                                                                        	and/CC	 
                                                                                                                                                                        	is/VBZ	 
                                                                                                                                                                        	the/DT	 
                                                                                                                                                                        	first/JJ	 
                                                                                                                                                                        	known/VBN	 
                                                                                                                                                                        	female/JJ	 
                                                                                                                                                                        	historian/NN	 
                                                                                                                                                                        	./.	 
[[ Reliance | /m/02w5t5 ]] group is [[ India | /m/03rk0 ]] 's largest business house, founded by [[ Anil | /m/04jr74 ]] 's late father [[ Dhirubhai Ambani | /m/034kdq ]] 	Reliance/NNP	 
                                                                                                                                                                           	group/NN	 
                                                                                                                                                                           	is/VBZ	 
                                                                                                                                                                           	India/NNP	 
                                                                                                                                                                           	s/RB	 
                                                                                                                                                                           	largest/JJS	 
                                                                                                                                                                           	business/NN	 
                                                                                                                                                                           	house/NN	 
                                                                                                                                                                           	,/,	 
                                                                                                                                                                           	founded/VBN	 
                                                                                                                                                                           	by/IN	 
                                                                                                                                                                           	Anil/NNP	 
                                                                                                                                                                           	s/NN	 
                                                                                                                                                                           	late/RB	 
                                                                                                                                                                           	father/RBR	 
                                                                                                                                                                           	Dhirubhai/NNP	 
                                                                                                                                                                           	Ambani/NNP	 
                                                                                                                                                                           	Reliance/NNP	 
                                                                                                                                                                           	group/NN	 
                                                                                                                                                                           	is/VBZ	 
                                                                                                                                                                           	India/NNP	 
                                                                                                                                                                           	s/RB	 
                                                                                                                                                                           	largest/JJS	 
                                                                                                                                                                           	business/NN	 
                                                                                                                                                                           	house/NN	 
                                                                                                                                                                           	,/,	 
                                                                                                                                                                           	founded/VBN	 
                                                                                                                                                                           	by/IN	 
                                                                                                                                                                           	Anil/NNP	 
                                                                                                                                                                           	s/NN	 
                                                                                                                                                                           	late/RB	 
                                                                                                                                                                           	father/RBR	 
                                                                                                                                                                           	Dhirubhai/NNP	 
                                                                                                                                                                           	Ambani/NNP	 
Han ? r son till sk? despelaren [[ John Carradine | /m/021mlp ]] , bror till [[ Robert Carradine | /m/026qxz ]] och halvbror till [[ David Carradine | /m/02p5hf ]] .	Han/NNP	 
                                                                                                                                                                      	?/.	 
                                                                                                                                                                      	r/NN	 
                                                                                                                                                                      	son/NN	 
                                                                                                                                                                      	till/NN	 
                                                                                                                                                                      	sk/VB	 
                                                                                                                                                                      	?/.	 
                                                                                                                                                                      	despelaren/NNS	 
                                                                                                                                                                      	John/NNP	 
                                                                                                                                                                      	Carradine/NNP	 
                                                                                                                                                                      	,/,	 
                                                                                                                                                                      	bror/NN	 
                                                                                                                                                                      	till/NN	 
                                                                                                                                                                      	Robert/NNP	 
                                                                                                                                                                      	Carradine/NNP	 
                                                                                                                                                                      	och/MD	 
                                                                                                                                                                      	halvbror/VB	 
                                                                                                                                                                      	till/NN	 
                                                                                                                                                                      	David/NNP	 
                                                                                                                                                                      	Carradine/NNP	 
                                                                                                                                                                      	./.	 
[[ Elizabeth | /m/02rg_ ]] had executed [[ James I | /m/01nq16 ]] 's mother, [[ Mary, Queen of Scots | /m/055l1 ]] , to avoid attempts on her life	Elizabeth/NNP	 
                                                                                                                                                   	had/VBD	 
                                                                                                                                                   	executed/VBN	 
                                                                                                                                                   	James/NNP	 
                                                                                                                                                   	I/PRP	 
                                                                                                                                                   	s/VBP	 
                                                                                                                                                   	mother/RB	 
                                                                                                                                                   	,/,	 
                                                                                                                                                   	Mary/NNP	 
                                                                                                                                                   	,/,	 
                                                                                                                                                   	Queen/NNP	 
                                                                                                                                                   	of/IN	 
                                                                                                                                                   	Scots/NNP	 
                                                                                                                                                   	,/,	 
                                                                                                                                                   	to/TO	 
                                                                                                                                                   	avoid/VB	 
                                                                                                                                                   	attempts/NNS	 
                                                                                                                                                   	on/IN	 
                                                                                                                                                   	her/PRP	 
                                                                                                                                                   	life/NN	 
We explored [[ Stirling Castle | /m/01dlps ]] , where [[ Mary Queen of Scots | /m/055l1 ]] gave birth to [[ James VI | /m/01nq16 ]] .	We/PRP	 
                                                                                                                                      	explored/VBD	 
                                                                                                                                      	Stirling/NNP	 
                                                                                                                                      	Castle/NNP	 
                                                                                                                                      	,/,	 
                                                                                                                                      	where/WRB	 
                                                                                                                                      	Mary/NNP	 
                                                                                                                                      	Queen/NNP	 
                                                                                                                                      	of/IN	 
                                                                                                                                      	Scots/NNP	 
                                                                                                                                      	gave/VBD	 
                                                                                                                                      	birth/NN	 
                                                                                                                                      	to/TO	 
                                                                                                                                      	James/NNP	 
                                                                                                                                      	VI/NNP	 
                                                                                                                                      	./.	 
[[ Asshur | /m/025wtx ]] was a son of [[ Shem | /m/0788r ]] 	Asshur/NNP	 
                                                             	was/VBD	 
                                                             	a/DT	 
                                                             	son/NN	 
                                                             	of/IN	 
                                                             	Shem/NNP	 
Andante Composer: [[ Dmitri Shostakovich | /m/02ck1 ]]  [[ Dmitri Shostakovich | /m/02ck1 ]] 's son, [[ Maxim Shostakovich | /m/03hzg8r ]] conducts [[ Piano Concerto No. 2 | /m/0gb77hy ]] in F major which is performed by Maxim&#	Andante/NNP	 
                                                                                                                                                                                                                                     	Composer/NNP	 
                                                                                                                                                                                                                                     	:/:	 
                                                                                                                                                                                                                                     	Dmitri/NNP	 
                                                                                                                                                                                                                                     	Shostakovich/NNP	 
                                                                                                                                                                                                                                     	Dmitri/NNP	 
                                                                                                                                                                                                                                     	Shostakovich/NNP	 
                                                                                                                                                                                                                                     	s/VBD	 
                                                                                                                                                                                                                                     	son/NN	 
                                                                                                                                                                                                                                     	,/,	 
                                                                                                                                                                                                                                     	Maxim/NNP	 
                                                                                                                                                                                                                                     	Shostakovich/NNP	 
                                                                                                                                                                                                                                     	conducts/VBZ	 
                                                                                                                                                                                                                                     	Piano/NNP	 
                                                                                                                                                                                                                                     	Concerto/NNP	 
                                                                                                                                                                                                                                     	No/NNP	 
                                                                                                                                                                                                                                     	./.	 
                                                                                                                                                                                                                                     	2/CD	 
                                                                                                                                                                                                                                     	in/IN	 
                                                                                                                                                                                                                                     	F/NNP	 
                                                                                                                                                                                                                                     	major/JJ	 
                                                                                                                                                                                                                                     	which/WDT	 
                                                                                                                                                                                                                                     	is/VBZ	 
                                                                                                                                                                                                                                     	performed/VBN	 
                                                                                                                                                                                                                                     	by/IN	 
                                                                                                                                                                                                                                     	Maxim/NNP	 
                                                                                                                                                                                                                                     	&/CC	 
                                                                                                                                                                                                                                     	#/#	 
Thats odd, one of my trusty history books says [[ Queen Charlotte | /m/01dr47 ]] was the daughter of [[ Karl Ludwig Frederick of Mecklenburg-Strelitz | /m/02ww6vl ]] 	Thats/NNS	 
                                                                                                                                                                       	odd/VBP	 
                                                                                                                                                                       	,/,	 
                                                                                                                                                                       	one/CD	 
                                                                                                                                                                       	of/IN	 
                                                                                                                                                                       	my/PRP$	 
                                                                                                                                                                       	trusty/JJ	 
                                                                                                                                                                       	history/NN	 
                                                                                                                                                                       	books/NNS	 
                                                                                                                                                                       	says/VBZ	 
                                                                                                                                                                       	Queen/NNP	 
                                                                                                                                                                       	Charlotte/NNP	 
                                                                                                                                                                       	was/VBD	 
