               Original Sentence             	                   List of POS      	       Misclassified Entity     
                                                                                                                                   	Verizon/NNP	 
                                                                                                                                   	?/.	 
                                                                                                                                   	s/NN	 
                                                                                                                                   	serve/NN	 
                                                                                                                                   	and/CC	 
                                                                                                                                   	put/VBD	 
                                                                                                                                   	the/DT	 
                                                                                                                                   	ball/NN	 
                                                                                                                                   	right/RB	 
                                                                                                                                   	back/RB	 
                                                                                                                                   	in/IN	 
                                                                                                                                   	FTTP/NNP	 
                                                                                                                                   	court/NN	 
                                                                                                                                   	./.	 
[[ PV | /m/02_spr ]] integrator [[ IBC SOLAR | /m/0bhc91f ]] has announced that it has completed construction of a new [[ PV | /m/02_spr ]]	PV/NNP	 
                                                                                                                                            	integrator/NN	 
                                                                                                                                            	IBC/NNP	 
                                                                                                                                            	SOLAR/NNP	 
                                                                                                                                            	has/VBZ	 
                                                                                                                                            	announced/VBN	 
                                                                                                                                            	that/IN	 
                                                                                                                                            	it/PRP	 
                                                                                                                                            	has/VBZ	 
                                                                                                                                            	completed/VBN	 
                                                                                                                                            	construction/NN	 
                                                                                                                                            	of/IN	 
                                                                                                                                            	a/DT	 
                                                                                                                                            	new/JJ	 
                                                                                                                                            	PV/NNP	 
[[ Laserfiche | /m/0cz0xj ]] is an industry-leading [[ ECM | /m/05k6fj ]] software developer in [[ Long Beach | /m/0nbwf ]] , [[ CA | /m/01n7q ]] .	Laserfiche/NNP	 
                                                                                                                                                    	is/VBZ	 
                                                                                                                                                    	an/DT	 
                                                                                                                                                    	industry-leading/JJ	 
                                                                                                                                                    	ECM/NNP	 
                                                                                                                                                    	software/NN	 
                                                                                                                                                    	developer/NN	 
                                                                                                                                                    	in/IN	 
                                                                                                                                                    	Long/NNP	 
                                                                                                                                                    	Beach/NNP	 
                                                                                                                                                    	,/,	 
                                                                                                                                                    	CA/NNP	 
                                                                                                                                                    	./.	 
That and the hillarious mention that [[ Taco Bell | /m/09cg6 ]] won the [[ Fast Food | /m/01_bhs ]]  wars  and became the only fast food restaurant.. Priceless.	That/DT	 
                                                                                                                                                                 	and/CC	 
                                                                                                                                                                 	the/DT	 
                                                                                                                                                                 	hillarious/JJ	 
                                                                                                                                                                 	mention/NN	 
                                                                                                                                                                 	that/IN	 
                                                                                                                                                                 	Taco/NNP	 
                                                                                                                                                                 	Bell/NNP	 
                                                                                                                                                                 	won/VBD	 
                                                                                                                                                                 	the/DT	 
                                                                                                                                                                 	Fast/NNP	 
                                                                                                                                                                 	Food/NNP	 
                                                                                                                                                                 	wars/NNS	 
                                                                                                                                                                 	and/CC	 
                                                                                                                                                                 	became/VBD	 
                                                                                                                                                                 	the/DT	 
                                                                                                                                                                 	only/JJ	 
                                                                                                                                                                 	fast/RB	 
                                                                                                                                                                 	food/NN	 
                                                                                                                                                                 	restaurant../NN	 
                                                                                                                                                                 	Priceless/NNP	 
                                                                                                                                                                 	./.	 
@Mac-nugget and CD: That's why I say that [[ Apple | /m/0k8z ]] is a [[ SOFTware | /m/01mf0 ]] company disguised as a [[ HARDware | /m/01mfj ]] company	@/JJ	 
                                                                                                                                                        	Mac-nugget/NNP	 
                                                                                                                                                        	and/CC	 
                                                                                                                                                        	CD/NN	 
                                                                                                                                                        	:/:	 
                                                                                                                                                        	That/DT	 
                                                                                                                                                        	s/VBP	 
                                                                                                                                                        	why/WRB	 
                                                                                                                                                        	I/PRP	 
                                                                                                                                                        	say/VBP	 
                                                                                                                                                        	that/IN	 
                                                                                                                                                        	Apple/NNP	 
                                                                                                                                                        	is/VBZ	 
                                                                                                                                                        	a/DT	 
                                                                                                                                                        	SOFTware/NNP	 
                                                                                                                                                        	company/NN	 
                                                                                                                                                        	disguised/VBD	 
                                                                                                                                                        	as/IN	 
                                                                                                                                                        	a/DT	 
                                                                                                                                                        	HARDware/NNP	 
                                                                                                                                                        	company/NN	 
[[ STEEL | /m/06qqb ]] union officials from [[ Teesside | /m/0206wm ]] say a meeting with [[ Corus | /m/06w7h_ ]] managers went 'very well.	STEEL/NNP	 
                                                                                                                                            	union/NN	 
                                                                                                                                            	officials/NNS	 
                                                                                                                                            	from/IN	 
                                                                                                                                            	Teesside/NNP	 
                                                                                                                                            	say/VBP	 
                                                                                                                                            	a/DT	 
                                                                                                                                            	meeting/NN	 
                                                                                                                                            	with/IN	 
                                                                                                                                            	Corus/NNP	 
                                                                                                                                            	managers/NNS	 
                                                                                                                                            	went/VBD	 
                                                                                                                                            	very/RB	 
                                                                                                                                            	well/RB	 
                                                                                                                                            	./.	 
[[ Fast Food | /m/01_bhs ]] is more than [[ KFC | /m/09b6t ]] and [[ McDonalds | /m/07gyp7 ]]	Fast/NNP	 
                                                                                              	Food/NNP	 
                                                                                              	is/VBZ	 
                                                                                              	more/JJR	 
                                                                                              	than/IN	 
                                                                                              	KFC/NNP	 
                                                                                              	and/CC	 
                                                                                              	McDonalds/NNP	 
[[ US | /m/09c7w0 ]] : [[ Ford | /m/02zs4 ]] confirms [[ Lincoln MKT | /m/03hhrcv ]] 'concept' for production: [[ Automotive | /m/015smg ]] .	US/NN	 
                                                                                                                                              	:/:	 
                                                                                                                                              	Ford/NNP	 
                                                                                                                                              	confirms/VBZ	 
                                                                                                                                              	Lincoln/NNP	 
                                                                                                                                              	MKT/NNP	 
                                                                                                                                              	concept/NN	 
                                                                                                                                              	for/IN	 
                                                                                                                                              	production/NN	 
                                                                                                                                              	:/:	 
                                                                                                                                              	Automotive/NNP	 
                                                                                                                                              	./.	 
[[ Primus | /m/07ydsp ]] got involved in [[ VoIP | /m/0jzgd ]] traffic in 1998, says Geoffrey Hicks, senior vice president of network services and technology.	Primus/NNP	 
                                                                                                                                                               	got/VBD	 
                                                                                                                                                               	involved/VBN	 
                                                                                                                                                               	in/IN	 
                                                                                                                                                               	VoIP/NNP	 
                                                                                                                                                               	traffic/NN	 
                                                                                                                                                               	in/IN	 
                                                                                                                                                               	1998/CD	 
                                                                                                                                                               	,/,	 
                                                                                                                                                               	says/VBZ	 
                                                                                                                                                               	Geoffrey/NNP	 
                                                                                                                                                               	Hicks/NNP	 
                                                                                                                                                               	,/,	 
                                                                                                                                                               	senior/JJ	 
                                                                                                                                                               	vice/NN	 
                                                                                                                                                               	president/NN	 
                                                                                                                                                               	of/IN	 
                                                                                                                                                               	network/NN	 
                                                                                                                                                               	services/NNS	 
                                                                                                                                                               	and/CC	 
                                                                                                                                                               	technology/NN	 
                                                                                                                                                               	./.	 
As the largest member of [[ EADS | /m/0n3tb ]] group, [[ Airbus | /m/015zfz ]] is the leader in [[ Aerospace | /m/0147gr ]] and Defense industry.	As/IN	 
                                                                                                                                                  	the/DT	 
                                                                                                                                                  	largest/JJS	 
                                                                                                                                                  	member/NN	 
                                                                                                                                                  	of/IN	 
                                                                                                                                                  	EADS/NNP	 
                                                                                                                                                  	group/NN	 
                                                                                                                                                  	,/,	 
                                                                                                                                                  	Airbus/NNP	 
                                                                                                                                                  	is/VBZ	 
                                                                                                                                                  	the/DT	 
                                                                                                                                                  	leader/NN	 
                                                                                                                                                  	in/IN	 
                                                                                                                                                  	Aerospace/NNP	 
                                                                                                                                                  	and/CC	 
                                                                                                                                                  	Defense/NNP	 
                                                                                                                                                  	industry/NN	 
                                                                                                                                                  	./.	 
[[ TOMRA SYSTEMS | /m/02vtxm ]] IS A SUPPLIER OF [[ REVERSE VENDING MACHINES | /m/05yj5s ]] , WHICH ARE USED TO [[ SORT | /m/032rq7 ]] AND COLLECT CONTAINERS FOR [[ RECYCLING | /m/0j6v7 ]] .	TOMRA/NNP	 
                                                                                                                                                                                               	SYSTEMS/NNP	 
                                                                                                                                                                                               	IS/VBZ	 
                                                                                                                                                                                               	A/DT	 
                                                                                                                                                                                               	SUPPLIER/NN	 
                                                                                                                                                                                               	OF/NNP	 
                                                                                                                                                                                               	REVERSE/NNP	 
                                                                                                                                                                                               	VENDING/NNP	 
                                                                                                                                                                                               	MACHINES/NNP	 
                                                                                                                                                                                               	,/,	 
                                                                                                                                                                                               	WHICH/NNP	 
                                                                                                                                                                                               	ARE/NNP	 
                                                                                                                                                                                               	USED/NNP	 
                                                                                                                                                                                               	TO/NNP	 
                                                                                                                                                                                               	SORT/NNP	 
                                                                                                                                                                                               	AND/NNP	 
                                                                                                                                                                                               	COLLECT/NNP	 
                                                                                                                                                                                               	CONTAINERS/NNP	 
                                                                                                                                                                                               	FOR/NNP	 
                                                                                                                                                                                               	RECYCLING/NNP	 
                                                                                                                                                                                               	./.	 
[[ Corus | /m/019x5q ]] , a subsidiary of [[ India | /m/03rk0 ]] 's [[ Tata Steel | /m/03109d ]] , employs 24,000 people in the [[ UK | /m/07ssc ]] and 42,000 worldwide	Corus/NNP	 
                                                                                                                                                                         	,/,	 
                                                                                                                                                                         	a/DT	 
                                                                                                                                                                         	subsidiary/NN	 
                                                                                                                                                                         	of/IN	 
                                                                                                                                                                         	India/NNP	 
                                                                                                                                                                         	s/NN	 
                                                                                                                                                                         	Tata/NNP	 
                                                                                                                                                                         	Steel/NNP	 
                                                                                                                                                                         	,/,	 
                                                                                                                                                                         	employs/VBZ	 
                                                                                                                                                                         	24,000/CD	 
                                                                                                                                                                         	people/NNS	 
                                                                                                                                                                         	in/IN	 
                                                                                                                                                                         	the/DT	 
                                                                                                                                                                         	UK/NNP	 
                                                                                                                                                                         	and/CC	 
                                                                                                                                                                         	42,000/CD	 
                                                                                                                                                                         	worldwide/NN	 
Hosting is a service provided by a [[ ISP | /m/0pjxv ]] , such as [[ Earthlink | /m/02glvd ]] a leading provider in [[ Atlanta | /m/013yq ]] .	Hosting/NNP	 
                                                                                                                                               	is/VBZ	 
                                                                                                                                               	a/DT	 
                                                                                                                                               	service/NN	 
                                                                                                                                               	provided/VBN	 
                                                                                                                                               	by/IN	 
                                                                                                                                               	a/DT	 
                                                                                                                                               	ISP/NNP	 
                                                                                                                                               	,/,	 
                                                                                                                                               	such/JJ	 
                                                                                                                                               	as/IN	 
                                                                                                                                               	Earthlink/NNP	 
                                                                                                                                               	a/DT	 
                                                                                                                                               	leading/VBG	 
                                                                                                                                               	provider/NN	 
                                                                                                                                               	in/IN	 
                                                                                                                                               	Atlanta/NNP	 
                                                                                                                                               	./.	 
The Case 888 [[ RailRoader | /m/06d_3 ]] is working for [[ Irish Rail | /m/02yc6j ]] .	The/DT	Irish Rail
                                                                                       	Case/NNP	 
                                                                                       	888/CD	 
                                                                                       	RailRoader/NNP	 
                                                                                       	is/VBZ	 
                                                                                       	working/VBG	 
                                                                                       	for/IN	 
                                                                                       	Irish/JJ	 
                                                                                       	Rail/NNP	 
                                                                                       	./.	 
In 1995, [[ Rhythm & Hues | /m/05v6fc ]] was recognized with an [[ Academy Award | /m/0g_w ]] for Achievement in [[ Visual Effects | /m/01vx2h ]] for its work on [[ Babe | /m/011ydl ]] .	In/IN	 
                                                                                                                                                                                           	1995/CD	 
                                                                                                                                                                                           	,/,	 
                                                                                                                                                                                           	Rhythm/NNP	 
                                                                                                                                                                                           	&/CC	 
                                                                                                                                                                                           	Hues/NNP	 
                                                                                                                                                                                           	was/VBD	 
                                                                                                                                                                                           	recognized/VBN	 
                                                                                                                                                                                           	with/IN	 
                                                                                                                                                                                           	an/DT	 
                                                                                                                                                                                           	Academy/NNP	 
                                                                                                                                                                                           	Award/NNP	 
                                                                                                                                                                                           	for/IN	 
                                                                                                                                                                                           	Achievement/NNP	 
                                                                                                                                                                                           	in/IN	 
                                                                                                                                                                                           	Visual/NNP	 
                                                                                                                                                                                           	Effects/NNPS	 
                                                                                                                                                                                           	for/IN	 
                                                                                                                                                                                           	its/PRP$	 
                                                                                                                                                                                           	work/NN	 
                                                                                                                                                                                           	on/IN	 
                                                                                                                                                                                           	Babe/NNP	 
                                                                                                                                                                                           	./.	 
[[ Information Technology | /m/03ytc ]]  company [[ Dimension Data Holdings | /m/02qk4zq ]]	Information/NNP	 
                                                                                            	Technology/NNP	 
                                                                                            	company/NN	 
                                                                                            	Dimension/NNP	 
                                                                                            	Data/NNP	 
                                                                                            	Holdings/NNS	 
                                                                                            	Information/NNP	 
                                                                                            	Technology/NNP	 
                                                                                            	company/NN	 
                                                                                            	Dimension/NNP	 
                                                                                            	Data/NNP	 
                                                                                            	Holdings/NNS	 
[[ Mitchell | /m/027nxls ]]  has joined the [[ PR | /m/062zr ]] and marketing agency [[ Freud Communications | /m/0gb0vf ]] .	Mitchell/NNP	 
                                                                                                                              	has/VBZ	 
                                                                                                                              	joined/VBN	 
                                                                                                                              	the/DT	 
                                                                                                                              	PR/NNP	 
                                                                                                                              	and/CC	 
                                                                                                                              	marketing/NN	 
                                                                                                                              	agency/NN	 
                                                                                                                              	Freud/NNP	 
                                                                                                                              	Communications/NNPS	 
                                                                                                                              	./.	 
[[ Vyke | /m/02rg1yy ]] can be used as [[ VOIP | /m/0jzgd ]] and mobile VOIP option.	Vyke/NNP	 
                                                                                     	can/MD	 
                                                                                     	be/VB	 
                                                                                     	used/VBN	 
                                                                                     	as/IN	 
