               Original Sentence             	                   List of POS      	       Misclassified Entity     
                                                                                                                                                                                             	,/,	 
                                                                                                                                                                                             	the/DT	 
                                                                                                                                                                                             	nations/JJ	 
                                                                                                                                                                                             	highest/JJS	 
                                                                                                                                                                                             	civilian/JJ	 
                                                                                                                                                                                             	honor/NN	 
                                                                                                                                                                                             	./.	 
In the last decade, Mrs. [[ Parks | /m/06lfd ]] was awarded the [[ Presidential Medal of Freedom | /m/05qck ]] and the [[ Congressional Gold Medal | /m/03vs1b ]] 	In/IN	 
                                                                                                                                                                   	the/DT	 
                                                                                                                                                                   	last/JJ	 
                                                                                                                                                                   	decade/NN	 
                                                                                                                                                                   	,/,	 
                                                                                                                                                                   	Mrs/NNP	 
                                                                                                                                                                   	./.	 
                                                                                                                                                                   	Parks/NNP	 
                                                                                                                                                                   	was/VBD	 
                                                                                                                                                                   	awarded/VBN	 
                                                                                                                                                                   	the/DT	 
                                                                                                                                                                   	Presidential/NNP	 
                                                                                                                                                                   	Medal/NNP	 
                                                                                                                                                                   	of/IN	 
                                                                                                                                                                   	Freedom/NNP	 
                                                                                                                                                                   	and/CC	 
                                                                                                                                                                   	the/DT	 
                                                                                                                                                                   	Congressional/NNP	 
                                                                                                                                                                   	Gold/NNP	 
                                                                                                                                                                   	Medal/NNP	 
[[ Cosby | /m/014zfs ]] received [[ Kennedy Center Honors | /m/025j12 ]] in 1998 and the [[ Presidential Medal of Freedom | /m/05qck ]] in 2002.	Cosby/NNP	 
                                                                                                                                                 	received/VBD	 
                                                                                                                                                 	Kennedy/NNP	 
                                                                                                                                                 	Center/NNP	 
                                                                                                                                                 	Honors/NNPS	 
                                                                                                                                                 	in/IN	 
                                                                                                                                                 	1998/CD	 
                                                                                                                                                 	and/CC	 
                                                                                                                                                 	the/DT	 
                                                                                                                                                 	Presidential/NNP	 
                                                                                                                                                 	Medal/NNP	 
                                                                                                                                                 	of/IN	 
                                                                                                                                                 	Freedom/NNP	 
                                                                                                                                                 	in/IN	 
                                                                                                                                                 	2002/CD	 
                                                                                                                                                 	./.	 
... In 1968, [[ Johnson | /m/0f7fy ]] awarded the [[ presidential Medal of Freedom | /m/05qck ]] to his outgoing secretary of defense, [[ Robert McNamara | /m/0ksjc ]] 	.../:	presidential Medal of Freedom
                                                                                                                                                                         	In/IN	 
                                                                                                                                                                         	1968/CD	 
                                                                                                                                                                         	,/,	 
                                                                                                                                                                         	Johnson/NNP	 
                                                                                                                                                                         	awarded/VBD	 
                                                                                                                                                                         	the/DT	 
                                                                                                                                                                         	presidential/JJ	 
                                                                                                                                                                         	Medal/NNP	 
                                                                                                                                                                         	of/IN	 
                                                                                                                                                                         	Freedom/NNP	 
                                                                                                                                                                         	to/TO	 
                                                                                                                                                                         	his/PRP$	 
                                                                                                                                                                         	outgoing/VBG	 
                                                                                                                                                                         	secretary/NN	 
                                                                                                                                                                         	of/IN	 
                                                                                                                                                                         	defense/NN	 
                                                                                                                                                                         	,/,	 
                                                                                                                                                                         	Robert/NNP	 
                                                                                                                                                                         	McNamara/NNP	 
In addition, [[ Kahn | /m/03q8ch ]] won the [[ BAFTA Award for Best Editing | /m/02qyntr ]] for [[ Fatal Attraction | /m/0yx7h ]]  as well as for [[ Schindler's List | /m/0hfzr ]] .[1	In/IN	 
                                                                                                                                                                                        	addition/NN	 
                                                                                                                                                                                        	,/,	 
                                                                                                                                                                                        	Kahn/NNP	 
                                                                                                                                                                                        	won/VBD	 
                                                                                                                                                                                        	the/DT	 
                                                                                                                                                                                        	BAFTA/NNP	 
                                                                                                                                                                                        	Award/NNP	 
                                                                                                                                                                                        	for/IN	 
                                                                                                                                                                                        	Best/NNP	 
                                                                                                                                                                                        	Editing/NNP	 
                                                                                                                                                                                        	for/IN	 
                                                                                                                                                                                        	Fatal/NNP	 
                                                                                                                                                                                        	Attraction/NNP	 
                                                                                                                                                                                        	as/RB	 
                                                                                                                                                                                        	well/RB	 
                                                                                                                                                                                        	as/IN	 
                                                                                                                                                                                        	for/IN	 
                                                                                                                                                                                        	Schindler/NNP	 
                                                                                                                                                                                        	s/JJ	 
                                                                                                                                                                                        	List/NNP	 
                                                                                                                                                                                        	./.	 
                                                                                                                                                                                        	1/CD	 
In addition, [[ Kahn | /m/03q8ch ]] won the [[ BAFTA Award for Best Editing | /m/02qyntr ]] for [[ Fatal Attraction | /m/0yx7h ]]  as well as for [[ Schindler's List | /m/0hfzr ]] .[1	In/IN	 
                                                                                                                                                                                        	addition/NN	 
                                                                                                                                                                                        	,/,	 
                                                                                                                                                                                        	Kahn/NNP	 
                                                                                                                                                                                        	won/VBD	 
                                                                                                                                                                                        	the/DT	 
                                                                                                                                                                                        	BAFTA/NNP	 
                                                                                                                                                                                        	Award/NNP	 
                                                                                                                                                                                        	for/IN	 
                                                                                                                                                                                        	Best/NNP	 
                                                                                                                                                                                        	Editing/NNP	 
                                                                                                                                                                                        	for/IN	 
                                                                                                                                                                                        	Fatal/NNP	 
                                                                                                                                                                                        	Attraction/NNP	 
                                                                                                                                                                                        	as/RB	 
                                                                                                                                                                                        	well/RB	 
                                                                                                                                                                                        	as/IN	 
                                                                                                                                                                                        	for/IN	 
                                                                                                                                                                                        	Schindler/NNP	 
                                                                                                                                                                                        	s/JJ	 
                                                                                                                                                                                        	List/NNP	 
                                                                                                                                                                                        	./.	 
                                                                                                                                                                                        	1/CD	 
                                                                                                                                                                                        	In/IN	 
                                                                                                                                                                                        	addition/NN	 
                                                                                                                                                                                        	,/,	 
                                                                                                                                                                                        	Kahn/NNP	 
                                                                                                                                                                                        	won/VBD	 
                                                                                                                                                                                        	the/DT	 
                                                                                                                                                                                        	BAFTA/NNP	 
                                                                                                                                                                                        	Award/NNP	 
                                                                                                                                                                                        	for/IN	 
                                                                                                                                                                                        	Best/NNP	 
                                                                                                                                                                                        	Editing/NNP	 
                                                                                                                                                                                        	for/IN	 
                                                                                                                                                                                        	Fatal/NNP	 
                                                                                                                                                                                        	Attraction/NNP	 
                                                                                                                                                                                        	as/RB	 
                                                                                                                                                                                        	well/RB	 
                                                                                                                                                                                        	as/IN	 
                                                                                                                                                                                        	for/IN	 
                                                                                                                                                                                        	Schindler/NNP	 
                                                                                                                                                                                        	s/JJ	 
                                                                                                                                                                                        	List/NNP	 
                                                                                                                                                                                        	./.	 
                                                                                                                                                                                        	1/CD	 
? President [[ Bush | /m/014k7d ]] will present [[ Tony Blair | /m/0948xk ]] with the [[ Medal of Freedom | /m/05qck ]] today.	?/.	 
                                                                                                                               	President/NNP	 
                                                                                                                               	Bush/NNP	 
                                                                                                                               	will/MD	 
                                                                                                                               	present/VB	 
                                                                                                                               	Tony/NNP	 
                                                                                                                               	Blair/NNP	 
                                                                                                                               	with/IN	 
                                                                                                                               	the/DT	 
                                                                                                                               	Medal/NNP	 
                                                                                                                               	of/IN	 
                                                                                                                               	Freedom/NNP	 
                                                                                                                               	today/NN	 
                                                                                                                               	./.	 
In 1994, [[ Chavez | /m/0hw9z ]] was awarded the [[ Presidential Medal of Freedom | /m/05qck ]] posthumously 	In/IN	 
                                                                                                              	1994/CD	 
                                                                                                              	,/,	 
                                                                                                              	Chavez/NNP	 
                                                                                                              	was/VBD	 
                                                                                                              	awarded/VBN	 
                                                                                                              	the/DT	 
                                                                                                              	Presidential/NNP	 
                                                                                                              	Medal/NNP	 
                                                                                                              	of/IN	 
                                                                                                              	Freedom/NNP	 
                                                                                                              	posthumously/RB	 
In 2004, [[ Palmer | /m/0l0cx ]] received the [[ Presidential Medal of Freedom | /m/05qck ]] from [[ George W. Bush | /m/09b6zr ]] during a [[ White House | /m/081sq ]] ceremony.	In/IN	 
                                                                                                                                                                                   	2004/CD	 
                                                                                                                                                                                   	,/,	 
                                                                                                                                                                                   	Palmer/NNP	 
                                                                                                                                                                                   	received/VBD	 
                                                                                                                                                                                   	the/DT	 
                                                                                                                                                                                   	Presidential/NNP	 
                                                                                                                                                                                   	Medal/NNP	 
                                                                                                                                                                                   	of/IN	 
                                                                                                                                                                                   	Freedom/NNP	 
                                                                                                                                                                                   	from/IN	 
                                                                                                                                                                                   	George/NNP	 
                                                                                                                                                                                   	W./NNP	 
                                                                                                                                                                                   	Bush/NNP	 
                                                                                                                                                                                   	during/IN	 
                                                                                                                                                                                   	a/DT	 
                                                                                                                                                                                   	White/NNP	 
                                                                                                                                                                                   	House/NNP	 
                                                                                                                                                                                   	ceremony/NN	 
                                                                                                                                                                                   	./.	 
On November 5, 2007, [[ Lee | /m/01bq7x ]] was awarded the [[ Presidential Medal of Freedom | /m/05qck ]] .	On/IN	 
                                                                                                            	November/NNP	 
                                                                                                            	5/CD	 
                                                                                                            	,/,	 
                                                                                                            	2007/CD	 
                                                                                                            	,/,	 
                                                                                                            	Lee/NNP	 
                                                                                                            	was/VBD	 
                                                                                                            	awarded/VBN	 
                                                                                                            	the/DT	 
                                                                                                            	Presidential/NNP	 
                                                                                                            	Medal/NNP	 
                                                                                                            	of/IN	 
                                                                                                            	Freedom/NNP	 
                                                                                                            	./.	 
These characteristics were also the reasons why President [[ Carter | /m/042kg ]] awarded [[ Mead | /m/04ysr ]] the [[ Medal of Freedom | /m/05qck ]] , posthumously	These/DT	 
                                                                                                                                                                     	characteristics/NNS	 
                                                                                                                                                                     	were/VBD	 
                                                                                                                                                                     	also/RB	 
                                                                                                                                                                     	the/DT	 
                                                                                                                                                                     	reasons/NNS	 
                                                                                                                                                                     	why/WRB	 
                                                                                                                                                                     	President/NNP	 
                                                                                                                                                                     	Carter/NNP	 
                                                                                                                                                                     	awarded/VBD	 
                                                                                                                                                                     	Mead/NNP	 
                                                                                                                                                                     	the/DT	 
                                                                                                                                                                     	Medal/NNP	 
                                                                                                                                                                     	of/IN	 
                                                                                                                                                                     	Freedom/NNP	 
                                                                                                                                                                     	,/,	 
                                                                                                                                                                     	posthumously/RB	 
[[ Gregorian | /m/06b_g_ ]] is the third president of [[ Carnegie Corporation of New York | /m/069d85 ]] to be honored with the [[ Presidential Medal of Freedom | /m/05qck ]] 	Gregorian/NN	 
                                                                                                                                                                                	is/VBZ	 
                                                                                                                                                                                	the/DT	 
                                                                                                                                                                                	third/JJ	 
                                                                                                                                                                                	president/NN	 
                                                                                                                                                                                	of/IN	 
                                                                                                                                                                                	Carnegie/NNP	 
                                                                                                                                                                                	Corporation/NNP	 
                                                                                                                                                                                	of/IN	 
                                                                                                                                                                                	New/NNP	 
                                                                                                                                                                                	York/NNP	 
                                                                                                                                                                                	to/TO	 
                                                                                                                                                                                	be/VB	 
                                                                                                                                                                                	honored/VBN	 
                                                                                                                                                                                	with/IN	 
                                                                                                                                                                                	the/DT	 
                                                                                                                                                                                	Presidential/NNP	 
                                                                                                                                                                                	Medal/NNP	 
                                                                                                                                                                                	of/IN	 
                                                                                                                                                                                	Freedom/NNP	 
[[ Steinbeck | /m/04107 ]] received the [[ Nobel Prize in Literature | /m/0ddd9 ]] in 1962, and, in 1964, he was presented with the [[ United States Medal of Freedom | /m/05qck ]] by President [[ Lyndon B. Johnson | /m/0f7fy ]] 	Steinbeck/NNP	 
                                                                                                                                                                                                                                     	received/VBD	 
                                                                                                                                                                                                                                     	the/DT	 
                                                                                                                                                                                                                                     	Nobel/NNP	 
                                                                                                                                                                                                                                     	Prize/NNP	 
                                                                                                                                                                                                                                     	in/IN	 
                                                                                                                                                                                                                                     	Literature/NNP	 
                                                                                                                                                                                                                                     	in/IN	 
                                                                                                                                                                                                                                     	1962/CD	 
                                                                                                                                                                                                                                     	,/,	 
                                                                                                                                                                                                                                     	and/CC	 
                                                                                                                                                                                                                                     	,/,	 
                                                                                                                                                                                                                                     	in/IN	 
                                                                                                                                                                                                                                     	1964/CD	 
                                                                                                                                                                                                                                     	,/,	 
                                                                                                                                                                                                                                     	he/PRP	 
                                                                                                                                                                                                                                     	was/VBD	 
                                                                                                                                                                                                                                     	presented/VBN	 
